model,seed,epoch,mIoU,F1,Precision,Recall
CBD-Net,123,25,0.6579019313676513,0.6659002553190079,0.8356072321442853,0.5534903716340401
CBD-Net,42,7,0.6270524708868143,0.6203475524004071,0.8348639518745891,0.4935354743536207
CBD-Net,7,21,0.6666526786164877,0.6808441543626969,0.8149156776136208,0.5846562058375947
DAENet,123,23,0.6556349542259085,0.6606245294147616,0.8529367444698508,0.5390788394724431
DAENet,42,26,0.6338413712985239,0.6361302068703498,0.7947504264147366,0.5302925902308393
DAENet,7,10,0.6187806955428936,0.6190472500769186,0.7567432564241053,0.523747637709225
DS-UNet,123,23,0.6515587133650467,0.669736269327516,0.7500788902774531,0.6049406242734675
DS-UNet,42,47,0.6517694402304768,0.6632384263857705,0.7905640044573607,0.5712376515564405
DS-UNet,7,11,0.645891820734779,0.6572922964385656,0.7740734177719926,0.5711293250889418
DeepLabV3+,123,8,0.6520006505675164,0.661584772225801,0.8041600020246504,0.5619529679196887
DeepLabV3+,42,14,0.6327705355262256,0.6335637837941623,0.8012283368220707,0.5239277691494656
DeepLabV3+,7,27,0.6390158182449169,0.6448172872889213,0.7886658801788595,0.5453492175601119
LRA-UNet,123,16,0.6162836311701299,0.622461805842022,0.7193743371496512,0.5485616500075056
LRA-UNet,42,34,0.6439810048453528,0.6512358508138106,0.7949221887740039,0.5515424848888756
LRA-UNet,7,36,0.6379710203129074,0.6410059448874346,0.8039667584425438,0.53297488621076
SegFormer,123,4,0.6568837786696831,0.6648882886213224,0.832055274037812,0.5536550720795227
SegFormer,42,18,0.6452842984272587,0.6523710767739739,0.8002638849501202,0.550615387186626
SegFormer,7,6,0.6652440403190658,0.6816544777441995,0.7951552917521331,0.5965093321261817
TransUNet,123,11,0.6120807991196228,0.6014418101624548,0.8002800204072621,0.4817472555157635
TransUNet,42,15,0.6500741363929385,0.6594723456970578,0.7994584860055788,0.5612054268641786
TransUNet,7,27,0.6582265047194448,0.6782960203699221,0.7553802805834134,0.6154882176617147
U-Net,123,32,0.6385256382469721,0.6462217946091247,0.7751282599883592,0.5540776337325368
U-Net,42,11,0.6267282397571374,0.6308419650608109,0.7601730123285586,0.5391202688194008
U-Net,7,7,0.6463143733474815,0.655813472470683,0.7872784506691055,0.5619724224689538
ViT-UNet,123,18,0.6690759702966655,0.6822097499685078,0.8303789562419508,0.5789120290926612
ViT-UNet,42,4,0.685741,0.729481,0.693851,0.768969
ViT-UNet,7,8,0.6706829749415593,0.6841052633671357,0.832980723643999,0.5803774430160521
vit_unet_4skip,123,16,0.684903,0.731466,0.682929,0.787432
vit_unet_4skip,42,4,0.685741,0.729481,0.693851,0.768969
vit_unet_4skip,7,11,0.682539,0.719968,0.714874,0.725137
