Model,Checkpoint,Params_M,Eval_seconds,IoU,mIoU,F1,Precision,Recall,Accuracy,Specificity
DeepLabV3+,deeplabv3plus_best.pth,26.678,5.99,0.528199,0.673156,0.69127,0.772932,0.625215,0.848885,0.931862
SegFormer,segformer_best.pth,3.714,5.82,0.519377,0.66762,0.683671,0.772246,0.613324,0.846422,0.932896
ViT-UNet (3-skip),vit_unet_best.pth,32.895,12.17,0.524051,0.667415,0.687708,0.746913,0.6372,0.843404,0.919902
ViT-UNet,vit_unet_4skip_orig_seed42_best.pth,33.117,12.21,0.536432,0.665829,0.698256,0.688973,0.707794,0.83447,0.881464
DS-UNet,dsunet_best.pth,7.806,13.64,0.483725,0.644335,0.652041,0.759832,0.571035,0.835085,0.933041
DAENet,daenet_best.pth,24.889,6.75,0.484881,0.642042,0.653091,0.735222,0.587466,0.831123,0.921514
CBD-Net,cbdnet_best.pth,73.397,9.55,0.468864,0.640748,0.638403,0.81551,0.524497,0.839225,0.955981
TransUNet,transunet_best.pth,107.051,10.7,0.478408,0.640364,0.647193,0.753426,0.567217,0.832661,0.931134
LRA-UNet,lraunet_best.pth,1.87,7.8,0.473958,0.637559,0.643109,0.752504,0.561484,0.83137,0.931492
U-Net,unet_best.pth,31.044,10.15,0.45082,0.625231,0.621469,0.76783,0.521973,0.827941,0.941449
